People,PPV,Haversine 
483,44,4.286446369
484,0,1.774640642
485,70,6.863781957
486,15,2.140947071
487,70,1.143552476
488,19,1.765553405
489,44,2.251156248
490,0,1.085349895
491,19,1.063991381
492,40,3.304428798
493,40,3.11886355
494,19,2.107643982
495,44,0.420698818
496,31,6.920244963
497,0,4.538792793
498,44,3.786864556
499,58,7.398746998
500,70,7.16560273
501,40,1.522512484
502,40,2.436164706
503,0,2.40608283
504,0,7.535781279
505,19,0.746352436
506,40,2.080969318
507,40,5.188543683
508,39,2.048125837
509,0,3.06349494
510,31,4.431761321
511,0,4.484418862
512,19,2.518316599
513,0,6.874665285
514,0,6.071472908
515,58,3.48600501
516,0,5.189119021
517,19,4.034462117
518,31,4.51454004
519,58,2.016868122
520,2,4.000418419
521,70,3.014972927
522,92,2.449188939
523,19,3.087193827
524,44,5.571408008
525,58,3.316492823
526,19,1.593192594
527,58,2.155336533
528,0,8.599291685
529,19,1.705671905
530,19,4.329656997
531,40,2.793225789
532,58,3.778222872
533,0,4.609054488
534,44,4.891074742
535,2,1.556790581
536,92,3.007096398
537,58,6.390740158
538,71,2.540316396
539,70,2.275469358
540,0,4.782069222
541,31,3.379638424
542,70,2.283340079
543,0,5.86294082
544,0,5.66071368
545,31,3.98560536
546,44,5.345546475
547,19,1.02480515
548,19,2.847651699
549,0,2.888986688
550,44,5.864427238
551,39,1.30950495
552,0,1.604955886
553,70,7.797009554
554,39,1.623942017
555,44,5.469873821
556,40,5.960125449
557,19,4.526248293
558,31,7.395004348
559,44,1.550329777
560,58,5.439203477
561,40,1.447735645
562,58,4.914247074
563,40,3.444200258
564,19,2.914275262
565,40,1.81428931
566,44,3.586911825
567,92,1.544606741
568,0,4.798727964
569,0,1.047994535
570,0,5.477104384
571,70,8.006442724
572,19,4.234252077
573,0,5.399919225
574,71,1.707741666
575,19,1.86150445
576,44,4.842160115
577,58,7.176718605
578,40,1.493438162
579,70,2.988543613
580,40,7.644993948
581,44,4.536772137
582,19,2.800994631
583,97,0.895494711
584,44,3.395323697
585,0,6.826414834
586,58,2.721692605
587,0,0.793274694
588,0,7.250992563
589,44,1.825420895
590,19,0.613882319
591,40,3.127494319
592,2,2.647233064
593,58,3.941109598
594,70,2.129877071
595,19,1.904679332
596,0,6.523384217
597,31,3.285243612
598,44,5.17501097
599,44,3.707850927
600,71,0.72581046
601,0,7.146483624
602,31,4.134644875
603,70,1.395361634
604,97,4.423095689
605,44,1.652626439
606,44,3.160438406
607,40,0.695014951
608,44,2.459932883
609,97,2.915112469
610,40,3.579074226
611,44,4.738834963
612,58,7.170389383
613,40,8.260096985
614,0,5.609149866
615,40,1.825544194
616,40,2.493921258
617,58,2.210553716
618,58,7.659630931
619,92,1.430816687
620,0,3.223303809
621,92,3.613350998
622,97,5.0282537
623,19,0.833257468
624,19,3.4399605
625,44,0.583919242
626,0,1.723784082
627,97,5.049497069
628,44,0.510878421
629,0,4.904494569
630,0,5.845499388
631,71,1.745181808
632,15,2.414378342
633,2,2.685761131
634,40,0.508774509
635,0,2.45706155
636,0,4.532665139
637,19,1.894515137
638,0,4.384942089
639,19,3.445668816
640,44,3.288694726
641,31,3.655800168
642,2,1.146038561
643,58,5.775737535
644,70,2.595271631
645,97,2.107823482
646,40,7.314804275
647,44,3.781741469
648,40,6.371800861
649,70,7.52504401
650,5,1.227132405
651,40,4.979572952
652,0,4.216571377
653,44,3.755919899
654,44,3.375815829
655,2,1.538862963
656,40,2.213632024
657,58,4.824240061
658,40,8.073293587
659,19,1.022157621
660,58,5.246131051
661,44,5.729166995
662,58,2.845043568
663,5,1.471308898
664,71,3.387328955
665,19,1.701904139
666,31,2.523909266
667,40,3.634173726
668,2,0.099911811
669,92,1.897407715
670,0,5.506457176
671,44,1.908031205
672,0,2.168087963
673,40,6.464312496
674,2,0.73608296
675,15,3.070891427
676,19,0.708194558
677,19,1.841383734
678,0,4.409686083
679,44,8.662851493
680,58,3.927258699
681,31,7.05136385
682,44,5.335514335
683,19,4.289983599
684,39,3.052417443
685,19,2.907165421
686,44,4.165928122
687,31,5.520115878
688,44,3.871450183
689,97,5.900333678
690,70,3.040365493
691,44,6.227425261
692,44,4.172919143
693,0,3.085032196
694,19,4.161894292
695,0,3.994381436
696,92,1.500780748
697,40,2.212527033
698,70,7.916525559
699,0,5.267786173
700,58,5.115096684
701,58,4.39477971
702,40,3.080078451
703,5,1.592450658
704,97,1.447456425
705,40,0.611424367
706,70,1.798195513
707,71,2.00423239
708,40,4.798608734
709,44,2.890396518
710,0,6.182817218
711,44,2.820739865
712,0,5.59744559
713,19,4.895587019
714,44,4.651519328
715,44,2.962375393
716,40,4.358477585
717,44,2.650426007
718,0,0.976535895
719,0,1.857545816
720,19,2.194808477
721,39,1.983993785
722,19,6.197970563
723,44,7.199042297
724,31,4.179632039
725,44,7.018388262
726,19,2.354991747
727,0,3.402826838
728,0,1.562922398
729,44,3.334072132
730,19,2.942451855
731,44,5.567032859
732,40,1.936883725
733,40,4.771145454
734,58,5.406368799
735,70,5.27712236
736,97,2.109604484
737,31,3.105413974
738,44,4.311984936
739,44,5.692572023
740,40,4.559207422
741,0,2.046722281
742,31,3.335637983
743,19,3.380900238
744,44,1.049582394
745,40,1.729862831
746,40,5.809370172
747,0,2.618906422
748,70,2.405408324
749,58,0.66014488
750,19,2.201349262
751,70,2.321098814
752,44,4.58820236
753,40,8.030155388
754,58,3.25339374
755,70,0.858471423
756,0,3.116174768
757,44,3.664264743
758,58,5.982115243
759,0,3.150716082
760,2,4.191280885
761,44,3.349605277
762,0,6.477740702
763,44,1.271494488
764,40,4.54894038
765,19,3.431923048
766,44,5.199705624
767,97,4.028022166
768,44,2.952977874
769,40,8.245144217
770,0,6.324608878
771,0,3.621596486
772,0,2.800740106
773,40,3.506140181
774,39,1.745085828
775,2,4.545858785
776,0,4.151729617
777,0,6.560583313
778,58,5.731755389
779,19,3.650230673
780,71,3.419309094
781,44,5.542926577
782,40,0.915497047
783,19,0.782266291
784,71,2.239634854
785,44,0.926854459
786,19,6.701670407
787,58,4.998720645
788,19,3.066561141
789,19,0.903387324
790,0,5.610465254
791,0,6.130585292
792,0,4.267582522
793,40,4.662329439
794,58,3.70196923
795,44,2.619086097
796,40,2.682732278
797,2,1.421627084
798,58,7.138352906
799,40,5.631381117
800,40,5.089635383
801,58,5.510434205
802,40,3.081275236
803,58,6.234349376
804,58,3.763078682
805,0,5.301959558
806,0,3.618824882
807,58,1.763264207
808,0,1.336528953
809,31,2.109750699
810,97,0.500891618
811,58,4.825438073
812,19,1.16438469
813,44,3.220235183
814,0,4.929277841
815,31,4.167280249
816,71,2.637936581
817,97,1.081173349
818,97,4.705987059
819,40,8.662337609
820,58,5.049733578
821,97,0.028454933
822,19,1.744671765
823,44,6.850088922
824,44,5.246508517
825,58,2.838672531
826,0,4.71942777
827,58,4.631138589
828,97,4.09567274
829,31,3.451632723
830,58,4.039755588
831,19,3.859415763
832,0,7.754635616
833,58,4.852421788
834,2,2.413816256
835,40,1.579118548
836,31,4.49270366
837,31,4.350005717
838,92,1.190819719
839,40,1.331703157
840,71,1.078387722
841,40,5.060444479
842,58,7.91917516
843,0,5.058756048
844,0,4.395792647
845,58,3.052429782
846,31,3.254446032
847,19,1.174909749
848,0,4.697696177
849,19,5.861484216
850,58,6.001679138
851,44,5.54970085
852,40,1.094057122
853,15,2.219798251
854,40,2.442961033
855,19,1.813280259
856,70,1.341843433
857,44,6.648663597
858,97,0.526764545
859,70,7.004133507
860,58,2.808472587
861,58,3.607835931
862,0,1.609722494
863,40,2.72474095
864,0,7.849936686
865,44,6.219025337
866,44,5.541735454
867,40,3.364045783
868,0,8.867599725
869,44,6.92373601
870,19,1.818524947
871,31,3.914044671
872,19,4.78280482
873,0,7.011372853
874,44,1.194028728
875,58,1.616050881
876,58,5.862853838
877,44,3.813297835
878,58,3.995400179
879,70,5.321633585
880,44,5.706833989
881,44,4.035269399
882,0,3.616335291
883,71,1.744145125
884,71,1.395262109
885,31,3.37757822
886,19,2.158569174
887,70,8.370254916
888,58,6.830910857
889,44,4.158842878
890,2,1.660532473
891,31,3.942473524
892,44,2.497977978
893,44,1.15836609
894,0,2.635948227
895,44,5.75979922
896,92,1.782541204
897,0,5.706888774
898,19,8.134545387
899,40,6.037888703
900,70,1.376647114
901,40,7.819114689
902,44,2.035769487
903,0,5.51791892
904,15,3.293306679
905,0,6.381257856
906,44,6.243578476
907,44,5.472947845
908,44,2.310084562
909,70,1.502488572
910,92,3.562104801
911,44,4.291310079
912,97,0.619436533
913,44,5.627818843
914,44,2.584951805
915,58,5.916897306
916,31,3.819647176
917,0,2.220099333
918,0,6.873594485
919,0,3.155880264
920,44,3.642928022
921,2,2.043381264
922,58,1.939639167
923,92,4.433941579
924,19,2.052845055
925,58,5.413862075
926,40,4.098208871
927,0,6.402376569
928,40,5.008179906
929,70,4.4957995
930,97,5.387532516
931,40,3.767704304
932,0,6.39252789
933,70,1.417587774
934,40,5.185669037
935,58,5.737301624
936,97,5.070853349
937,92,3.427681778
938,40,3.06066601
939,0,4.685401463
940,40,6.222705729
941,5,1.188591693
942,44,4.20539644
943,2,5.554920942
944,70,2.156278434
945,58,2.81168209
946,44,3.065413374
947,44,3.848830794
948,58,4.776181847
949,44,0.70663464
950,70,0.193675839
951,58,4.073429905
952,19,2.427763443
953,40,1.247668883
954,70,2.4664195
955,31,2.574244194
956,0,7.63116218
957,40,2.871036083
958,58,2.894854581
959,44,0.656351081
960,92,4.284951348
961,97,5.243382194
962,58,2.65562981
963,44,4.030682154
964,44,4.753133854
965,0,5.839446954
966,0,5.830394689
967,31,5.441401073
968,19,2.554593881
969,92,2.951103488
970,40,1.672732418
971,40,4.166577939
972,44,4.03951824
973,40,2.816345212
974,44,6.842348101
975,58,5.286706327
976,58,1.339630844
977,70,1.035847499
978,71,2.029418265
979,44,3.844672752
980,0,7.414453895
981,92,2.253263194
982,0,2.503918862
983,44,4.12748832
984,19,2.32869035
985,97,3.089402154
986,58,7.667509704
987,19,1.877356504
988,15,3.531301913
989,0,4.344536888
990,92,2.024487156
991,0,0.853292228
992,0,1.421595875
993,40,3.025982448
994,0,4.848853916
995,31,4.74394376
996,58,5.775345608
997,58,5.945847307
998,44,6.356919051
999,40,1.386868977
1000,44,1.387526774
1001,58,6.013736746
1002,40,5.204199768
1003,44,3.151426868
1004,0,6.051423496
1005,31,2.570963
1006,40,3.536680178
1007,58,6.385414969
1008,44,5.90013995
1009,0,6.814810204
1010,40,2.5791816
1011,40,2.277545466
1012,31,5.610167042
1013,19,1.683728157
1014,19,2.901344392
1015,2,1.508188871
1016,0,4.855002316
1017,31,2.199804982
1018,40,2.210692207
1019,0,2.207756424
1020,40,0.320602884
1021,97,0.371268365
1022,19,2.125739768
1023,71,1.434109405
1024,19,1.84833913
1025,97,5.160045718
1026,58,1.903571868
1027,2,2.083499603
1028,40,0.790068038
1029,70,4.916778607
1030,40,2.103723703
1031,58,3.98423153
1032,44,7.545713844
1033,31,3.118297124
1034,44,1.098030332
1035,40,1.659124641
1036,92,1.084468973
1037,0,5.621118954
1038,44,6.246125092
1039,31,3.111810761
1040,44,5.417698749
1041,44,4.471914024
1042,70,3.259088401
1043,40,2.793404304
1044,40,1.897648734
1045,0,5.812804727
1046,58,1.116260133
1047,0,4.93331572
1048,31,4.992725431
1049,31,2.76914806
1050,58,3.423871213
1051,19,1.102893383
1052,0,6.3817335
1053,40,2.538713364
1054,15,3.232423359
1055,58,7.822302791
1056,0,2.58567799
1057,40,1.455966354
1058,40,1.409375865
1059,15,3.283208207
1060,70,3.15880461
1061,0,2.369513592
1062,70,4.49449195
1063,40,8.323577865
1064,0,4.771392989
1065,58,5.665337241
1066,40,5.793345602
1067,0,6.23754365
1068,44,4.787338566
1069,58,6.887238677
1070,58,4.058915007
1071,58,5.252717718
1072,44,6.605768272
1073,44,1.946661775
1074,0,5.23815205
1075,58,4.068518533
1076,31,4.436445337
1077,19,2.257968885
1078,40,6.21905185
1079,40,3.527730673
1080,44,5.888403744
1081,44,2.19245939
1082,19,6.186909684
1083,31,3.010330348
1084,92,3.545076426
1085,31,4.068950714
1086,58,3.436649557
1087,44,5.486611268
1088,0,6.038062489
1089,39,2.272093523
1090,44,2.421871389
1091,2,3.053429221
1092,58,6.161043266
1093,0,1.998711944
1094,0,4.089241934
1095,40,2.756924776
1096,0,5.575748104
1097,44,8.621596094
1098,58,2.53058083
1099,19,3.640418969
1100,58,6.256402341
1101,2,1.271353131
1102,44,7.631704877
1103,40,7.613624991
1104,19,1.469335064
1105,0,5.76802685
1106,44,2.924854511
1107,97,0.166779664
1108,40,1.038506192
1109,58,0.835719431
1110,44,5.162098133
1111,40,1.56360799
1112,44,6.701430693
1113,19,0.851842988
1114,70,2.777368406
1115,58,3.437340555
1116,58,5.255442002
1117,58,3.398491075
1118,39,3.283537784
1119,40,7.615872954
1120,0,4.858302285
1121,58,5.52023443
1122,44,6.700358803
1123,0,4.294588167
1124,97,1.508293282
1125,44,5.073691228
1126,40,0.812020581
1127,0,5.562130758
1128,0,4.876004714
1129,71,2.833502137
1130,2,4.195712936
1131,40,2.210175176
1132,31,7.07045317
1133,40,3.151317831
1134,0,3.713249558
1135,40,5.206885573
1136,92,1.82541277
1137,31,4.633716437
1138,19,2.387645723
1139,40,3.569024681
1140,19,3.350904754
1141,19,3.409591227
1142,0,5.280194868
1143,0,6.201221073
1144,0,4.584179385
1145,92,3.611607126
1146,58,5.102685967
1147,58,2.262774214
1148,0,3.240146719
1149,92,3.256417462
1150,44,4.812981572
1151,40,3.641416512
1152,58,4.349822137
1153,31,3.497085849
1154,58,2.926890296
1155,58,3.946599508
1156,40,2.450087123
1157,31,7.024739597
1158,0,5.607469035
1159,70,1.326045573
1160,97,4.148343076
1161,0,8.055346109
1162,40,1.579846552
1163,0,5.964976389
1164,92,2.384194828
1165,15,3.273398334
1166,19,1.141947067
1167,40,2.273809821
1168,40,2.583691701
1169,0,3.70838707
1170,44,4.130554628
1171,31,3.663556296
1172,40,6.113563644
1173,92,2.555511522
1174,0,4.943983526
1175,0,7.925932327
1176,40,4.951279437
1177,40,4.557605635
1178,44,2.966568214
1179,97,2.680661406
1180,44,7.192312812
1181,44,5.239814957
1182,0,4.784318596
1183,19,3.039801909
1184,0,3.597756509
1185,0,2.119614619
1186,58,5.220133504
1187,2,1.644060655
1188,58,1.97251191
1189,19,1.423703918
1190,40,4.059035364
1191,0,3.722654441
1192,58,2.536196475
1193,44,3.728467732
1194,70,2.689271541
1195,58,6.095776717
1196,92,1.832867453
1197,44,7.244078525
1198,31,1.91897584
1199,40,2.882910298
1200,19,3.662006592
1201,44,2.780025608
1202,5,1.150497275
1203,58,5.402083946
1204,0,2.89209798
1205,0,6.030501672
1206,40,3.041164848
1207,71,1.535446646
1208,70,1.46538635
1209,40,3.083106076
1210,19,2.858530341
1211,2,3.01780676
1212,40,2.733766813
1213,0,2.479476308
1214,58,1.387049892
1215,0,6.190992043
1216,40,2.612000601
1217,58,4.270443415
1218,44,6.960572134
1219,44,1.629418715
1220,92,3.644020492
1221,40,4.046376962
1222,15,3.12411026
1223,31,3.060068795
1224,0,4.127124532
1225,0,1.222687149
1226,44,4.262497438
1227,70,2.716879999
1228,40,3.818736549
1229,44,8.346081661
1230,70,5.50857233
1231,19,2.717537041
1232,0,2.851031538
1233,40,5.082730428
1234,58,4.925556258
1235,31,2.600574359
1236,44,1.750564685
